met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
0,-,1,1,0,SuitLeakG2,Holding,1,92.586188,407.818449,0.00082,0.000816,0,0.000002,0,1573203.667618,0.998723,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-0.002799,0.001645,-0.000918,0,883654.375,20242.841797,888364.25,0,0.039901,-6362.53059,28.620268,310.638416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1,0,0,1,1,0.631504,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000002,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.656728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,409.609131,0,0,1,1,0.631462,,,,,,,,,,,,0.12,0,0,0,0.12,0,0,0,0,0,0,0
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000002,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.690955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,609.37561,0,0,1,1,0.631422,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000002,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.741876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,809.218262,0,0,1,1,0.631364,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000001,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.809495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1008.984741,0,0,1,1,0.631289,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000001,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.893808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1208.827393,0,0,1,1,0.631196,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000001,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,310.994819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1408.593872,0,0,1,1,0.631091,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0.000001,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,311.112523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1608.436523,0,0,1,1,0.630974,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,311.246927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,1808.203003,0,0,1,1,0.630848,,,,,,,,,,,,,,,,,,,,,,,
0,ASCENT,7,0,1,None,Holding,0,92.586196,407.818445,0,0,0,0,0.000022,1573203.667618,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,,0.0399,-6362.530591,28.620268,311.398023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,6097.718811,432.371399,0.713823,11027861.328125,,,,,,,,,,,,,,2007.969482,0,0,1,1,0.630714,,,,,,,,,,,,,,,,,,,,,,,
